idprovincia;provincia
4;Almería
11;Cádiz
14;Córdoba
18;Granada
21;Huelva
23;Jaén
29;Málaga
41;Sevilla
22;Huesca
44;Teruel
50;Zaragoza
33;Asturias
7;Baleares
35;Las Palmas
38;Santa Cruz de Tenerife
39;Cantabria
5;Ávila
9;Burgos
24;León
34;Palencia
37;Salamanca
40;Segovia
42;Soria
47;Valladolid
49;Zamora
2;Albacete
13;Ciudad Real
16;Cuenca
19;Guadalajara
45;Toledo
8;Barcelona
17;Girona
25;Lleida
43;Tarragona
3;Alicante
12;Castellón
46;Valencia
6;Badajoz
10;Cáceres
15;A Coruña
27;Lugo
32;Ourense
36;Pontevedra
28;Madrid
30;Murcia
31;Navarra
1;Álava
48;Bizkaia
20;Gipuzkoa
26;La Rioja
51;Ceuta
52;Melilla
